Store_ID,Platform,Product_Count,Monthly_Revenue,Avg_Discount_%,Return_Rate_%
100,Shopmatic,1157,123509.0,2.09,12.67
101,Unicommerce,71,50000.0,2.49,1.6
102,Shopmatic,175,57288.0,17.4,18.92
103,PrestaShop,732,50000.0,19.1,8.78
104,Weebly,186,214439.0,26.19,8.44
105,Paytm Mall,569,181947.0,5.65,1.55
106,Shopmatic,152,120203.0,3.36,24.04
107,Kartrocket,813,97459.0,16.31,2.92
108,Unicommerce,38,605772.0,21.28,16.49
109,Kartrocket,185,93835.0,14.68,19.17
110,Shopify,231,348981.0,17.11,5.15
111,Kartify,114,50000.0,15.72,17.71
112,Shopify,99,125469.0,7.71,14.32
113,Unicommerce,403,496304.0,20.34,8.61
114,Unicommerce,195,648778.0,7.35,20.62
115,Shopmatic,1040,1848219.0,15.11,15.39
116,Shopmatic,135,64856.0,4.89,20.32
117,OpenCart,79,496008.0,7.46,8.96
118,Custom,111,73015.0,17.28,6.81
119,Paytm Mall,74,53099.0,5.72,3.25
120,Squarespace,485,333507.0,24.7,12.06
121,Dukaan,50,285283.0,3.33,8.92
122,BigCommerce,480,772597.0,14.8,13.27
123,Instamojo,44,265095.0,15.8,4.72
124,Unicommerce,112,358270.0,7.69,6.96
125,Zepo,170,75442.0,17.36,16.68
126,Squarespace,49,130252.0,19.0,19.97
127,Kartify,183,85496.0,4.76,25.27
128,Squarespace,68,133688.0,2.1,14.34
129,Dukaan,585,362245.0,13.28,3.86
130,Instamojo,985,349880.0,13.34,13.31
131,Unicommerce,537,65964.0,3.26,8.83
132,Custom,90,283154.0,7.57,21.97
133,Magento,809,112279.0,10.73,20.5
134,WooCommerce,87,115709.0,12.2,21.42
135,Martjack,108,399155.0,9.75,7.18
136,Magento,293,91145.0,2.44,7.95
137,PrestaShop,1097,50000.0,10.82,15.85
138,Kartify,166,332013.0,13.37,23.93
139,Magento,231,172735.0,6.41,5.46
140,Squarespace,43,113382.0,32.61,11.6
141,Volusion,637,82154.0,10.0,23.06
142,Shopmatic,958,185798.0,16.05,21.57
143,Paytm Mall,35,158565.0,12.45,24.92
144,Squarespace,1004,266153.0,4.97,22.94
145,Kartify,232,1716911.0,4.3,18.16
146,Paytm Mall,907,50000.0,13.13,14.84
147,Shopify,153,173865.0,6.91,11.57
148,Unicommerce,318,335930.0,2.61,7.81
149,Weebly,509,110769.0,4.87,5.54
150,Shopify,556,50000.0,28.0,6.57
151,Shopmatic,138,111903.0,21.95,18.37
152,Kartrocket,91,55999.0,17.5,22.71
153,StoreHippo,108,368360.0,16.18,19.75
154,Dukaan,649,164789.0,19.86,26.06
155,Kartrocket,119,56368.0,11.38,10.67
156,Instamojo,93,241504.0,22.09,17.89
157,Unicommerce,82,251023.0,14.44,9.79
158,Paytm Mall,177,50000.0,23.13,9.56
159,Magento,554,2029060.0,20.82,23.3
160,OpenCart,216,55764.0,3.53,32.09
161,Unicommerce,1087,50000.0,5.06,6.7
162,PrestaShop,1030,516323.0,18.24,23.84
163,Kartify,150,577272.0,14.8,9.56
164,OpenCart,809,232111.0,21.87,23.3
165,Shopmatic,720,256448.0,21.55,14.01
166,PrestaShop,46,271081.0,14.65,13.26
167,Shopify,269,170009.0,13.52,19.33
168,Squarespace,393,185010.0,9.36,24.5
169,Volusion,152,59963.0,22.39,6.73
170,Kartrocket,92,240910.0,21.1,19.09
171,OpenCart,99,842097.0,5.73,11.71
172,Weebly,83,259950.0,12.3,2.76
173,Unicommerce,292,611131.0,11.01,6.23
174,Shopmatic,152,50000.0,20.34,6.66
175,Squarespace,108,110714.0,12.65,17.46
176,Kartrocket,74,73028.0,11.32,30.27
177,Dukaan,154,89920.0,10.46,13.39
178,StoreHippo,348,99387.0,6.92,25.37
179,Kartrocket,88,475087.0,12.42,2.46
180,StoreHippo,372,208191.0,1.49,16.38
181,StoreHippo,1174,217090.0,10.4,16.68
182,Unicommerce,514,458275.0,21.3,19.34
183,StoreHippo,106,177509.0,7.77,6.55
184,Custom,189,115695.0,6.37,27.78
185,Zepo,1083,491675.0,13.68,5.21
186,Custom,154,657713.0,9.64,9.76
187,Dukaan,100,55143.0,12.75,3.39
188,Instamojo,144,207370.0,3.12,12.47
189,Unicommerce,297,219161.0,23.11,10.83
190,PrestaShop,123,444461.0,25.23,20.21
191,Kartrocket,524,397869.0,24.07,17.4
192,Shopify,566,1019834.0,15.42,6.41
193,Custom,370,344551.0,12.5,16.13
194,WooCommerce,508,75172.0,21.92,14.53
195,Shopify,434,397999.0,6.36,8.31
196,Volusion,241,58516.0,22.99,10.78
197,Custom,43,117780.0,6.75,5.05
198,Dukaan,104,689480.0,7.29,16.15
199,Magento,912,94486.0,24.34,21.92
200,BigCommerce,633,224116.0,8.45,23.39
201,Weebly,160,70424.0,19.47,5.5
202,Shopmatic,112,50000.0,3.74,5.03
203,Volusion,1186,565976.0,9.77,13.72
204,Shopmatic,657,641539.0,9.64,9.02
205,Squarespace,58,447910.0,29.05,9.37
206,Instamojo,1139,50000.0,4.45,13.57
207,PrestaShop,134,79682.0,13.58,29.65
208,Instamojo,48,222665.0,3.89,21.54
209,OpenCart,100,171538.0,6.42,22.65
210,Dukaan,150,50000.0,19.02,10.91
211,Instamojo,82,920257.0,17.22,0.69
212,Volusion,34,392736.0,14.83,14.47
213,Shopmatic,519,74245.0,12.74,5.03
214,WooCommerce,706,62726.0,9.73,13.33
215,Dukaan,60,475577.0,2.3,23.99
216,Martjack,339,60587.0,11.25,13.02
217,WooCommerce,672,155738.0,23.33,11.7
218,Zepo,193,167081.0,4.74,25.97
219,Magento,187,205425.0,7.54,21.37
220,OpenCart,67,83420.0,7.68,1.81
221,Zepo,775,105151.0,20.0,9.01
222,Squarespace,162,84401.0,15.12,14.54
223,Kartrocket,83,253598.0,9.57,24.3
224,Martjack,103,50000.0,22.92,23.21
225,Kartrocket,109,449890.0,5.94,3.64
226,Squarespace,33,304121.0,6.68,4.67
227,PrestaShop,723,57221.0,11.11,9.38
228,Paytm Mall,178,555315.0,21.73,21.23
229,PrestaShop,92,206955.0,10.62,18.94
230,Squarespace,34,50543.0,14.7,13.85
231,Magento,74,289310.0,17.59,19.5
232,Dukaan,747,80644.0,10.72,24.92
233,Squarespace,30,306844.0,18.99,6.9
234,Instamojo,160,195915.0,11.49,3.61
235,Squarespace,288,206933.0,4.9,12.94
236,OpenCart,84,1513251.0,14.36,7.83
237,Kartify,376,281840.0,8.69,15.35
238,Kartrocket,349,330966.0,9.57,9.9
239,Martjack,82,258137.0,9.56,8.58
240,Custom,792,50000.0,12.1,8.88
241,Custom,41,97611.0,16.33,2.0
242,Weebly,831,642820.0,19.15,22.9
243,Shopmatic,118,76021.0,16.06,22.22
244,StoreHippo,148,98957.0,25.89,21.47
245,Shopmatic,130,643063.0,3.94,9.35
246,Weebly,35,51902.0,4.85,24.74
247,Shopmatic,76,131048.0,16.58,6.44
248,Custom,261,434679.0,16.85,8.26
249,OpenCart,492,107856.0,14.55,3.2
250,BigCommerce,147,101441.0,14.03,8.28
251,Martjack,1036,83417.0,13.68,9.32
252,Paytm Mall,84,121640.0,7.0,5.15
253,Shopmatic,222,157499.0,24.46,22.25
254,Shopmatic,188,263210.0,8.75,13.06
255,Martjack,294,1222808.0,18.44,13.69
256,Shopmatic,30,108662.0,9.96,1.48
257,StoreHippo,281,127756.0,12.47,8.76
258,OpenCart,623,50000.0,11.67,6.45
259,Unicommerce,681,50000.0,8.64,11.42
260,Shopmatic,159,263869.0,14.66,14.54
261,StoreHippo,446,177651.0,4.56,12.17
262,Weebly,180,238374.0,1.45,4.03
263,StoreHippo,142,119865.0,15.98,15.15
264,Magento,558,179531.0,24.92,26.86
265,WooCommerce,1169,124620.0,3.22,11.4
266,PrestaShop,654,87434.0,6.88,15.39
267,WooCommerce,218,74932.0,23.89,4.22
268,Squarespace,390,216469.0,14.68,8.8
269,Paytm Mall,154,3758557.0,4.69,24.07
270,Weebly,569,50000.0,7.1,23.23
271,Weebly,176,111952.0,20.52,19.32
272,Magento,866,237223.0,24.62,20.23
273,Custom,321,167333.0,8.89,5.4
274,Paytm Mall,238,288602.0,24.3,19.23
275,Kartrocket,742,134574.0,9.01,20.02
276,Martjack,37,450912.0,11.49,9.37
277,Instamojo,105,110464.0,18.46,6.28
278,Kartify,120,126562.0,21.28,8.25
279,Squarespace,276,112684.0,11.48,7.12
280,Dukaan,149,942535.0,0.12,19.98
281,Dukaan,954,53134.0,14.83,15.18
282,Weebly,124,67644.0,3.61,8.48
283,Zepo,364,186387.0,8.42,6.64
284,Shopify,999,174158.0,6.86,6.84
285,Paytm Mall,152,50000.0,12.03,14.6
286,Dukaan,67,67028.0,16.51,5.03
287,Squarespace,1148,60301.0,4.28,14.69
288,Squarespace,1012,233654.0,6.29,2.59
289,Shopmatic,637,78202.0,9.11,6.44
290,Squarespace,147,62014.0,23.41,8.38
291,Weebly,310,224854.0,16.61,15.76
292,Shopmatic,72,81098.0,17.33,14.57
293,Magento,1047,491238.0,6.51,6.45
294,StoreHippo,1133,614646.0,13.19,4.96
295,Magento,125,307103.0,23.08,4.37
296,Magento,1044,263755.0,15.33,32.8
297,Kartify,125,176846.0,12.55,18.19
298,Volusion,153,93667.0,5.86,18.47
299,Weebly,1037,285947.0,6.11,9.72
300,Magento,66,421711.0,2.94,9.33
301,WooCommerce,191,99506.0,4.27,32.04
302,Martjack,108,103749.0,14.84,33.68
303,StoreHippo,447,50000.0,18.79,15.28
304,Paytm Mall,82,50000.0,21.17,14.05
305,Kartrocket,145,696063.0,9.53,9.82
306,Shopify,493,634194.0,3.56,17.39
307,Dukaan,47,372248.0,28.83,5.72
308,BigCommerce,129,156041.0,6.12,5.44
309,Magento,231,138661.0,19.83,8.41
310,Shopify,741,196681.0,19.71,7.98
311,Unicommerce,68,111016.0,15.31,2.45
312,OpenCart,146,400494.0,20.43,27.64
313,Shopmatic,410,51035.0,3.79,25.55
314,WooCommerce,155,89601.0,11.25,4.87
315,Paytm Mall,448,50000.0,7.22,28.64
316,PrestaShop,697,93428.0,15.73,9.87
317,Kartify,398,249613.0,16.55,25.99
318,Squarespace,607,50000.0,12.73,13.93
319,Custom,475,169800.0,2.81,9.45
320,Zepo,436,406973.0,14.27,18.79
321,WooCommerce,308,354701.0,10.93,12.31
322,WooCommerce,120,50000.0,19.38,7.19
323,StoreHippo,976,1620270.0,9.44,16.0
324,Weebly,99,791750.0,16.69,9.87
325,Paytm Mall,834,243668.0,7.56,13.1
326,Magento,143,101772.0,5.01,19.25
327,OpenCart,1151,50000.0,21.3,13.95
328,Shopify,190,55908.0,18.69,15.13
329,Magento,1149,501908.0,9.55,4.33
330,Dukaan,553,231948.0,3.68,9.38
331,Magento,105,59305.0,14.48,14.71
332,Dukaan,77,50000.0,17.85,7.49
333,Custom,734,180757.0,2.95,12.94
334,Volusion,759,51777.0,4.29,18.89
335,BigCommerce,146,50000.0,11.72,22.02
336,Zepo,111,116289.0,5.89,16.12
337,Weebly,1092,50000.0,8.42,5.68
338,Magento,68,50000.0,17.68,19.02
339,Kartrocket,342,254770.0,5.19,15.32
340,Dukaan,325,125431.0,15.35,19.52
341,Kartify,79,66669.0,17.74,10.97
342,WooCommerce,127,343021.0,18.74,13.24
343,Magento,38,327399.0,10.85,21.33
344,WooCommerce,144,678557.0,10.52,20.87
345,Shopmatic,1181,107282.0,14.87,15.11
346,WooCommerce,134,932129.0,11.61,11.41
347,Kartrocket,346,480417.0,28.87,15.83
348,Unicommerce,88,441121.0,11.1,3.74
349,Zepo,91,281399.0,19.38,14.57
350,StoreHippo,491,54958.0,15.04,15.04
351,Kartify,433,67789.0,10.22,13.04
352,Volusion,97,90713.0,4.31,5.77
353,Paytm Mall,140,226279.0,15.63,16.41
354,OpenCart,186,88718.0,30.53,7.94
355,StoreHippo,103,443803.0,5.38,18.92
356,BigCommerce,41,612874.0,9.18,1.13
357,BigCommerce,155,271230.0,21.45,14.72
358,OpenCart,307,50000.0,16.13,9.11
359,BigCommerce,166,363208.0,16.33,5.89
360,Instamojo,55,354269.0,17.66,24.35
361,StoreHippo,374,81674.0,11.17,7.23
362,Shopify,105,55912.0,20.35,23.48
363,Dukaan,292,229862.0,13.24,5.07
364,Magento,963,119291.0,10.02,19.44
365,Custom,719,387093.0,5.75,24.83
366,Zepo,134,186377.0,20.22,7.55
367,Weebly,384,76516.0,11.17,9.75
368,Unicommerce,133,50000.0,15.95,19.46
369,Custom,80,74371.0,22.81,3.47
370,Volusion,199,171351.0,9.34,6.05
371,BigCommerce,363,96714.0,12.39,13.7
372,StoreHippo,120,80190.0,28.34,3.31
373,Zepo,1083,247409.0,7.44,13.14
374,Dukaan,136,577927.0,18.54,9.44
375,StoreHippo,154,232930.0,15.38,9.25
376,Magento,528,125959.0,7.25,21.98
377,Unicommerce,198,1064183.0,8.63,14.08
378,Dukaan,88,201854.0,12.99,4.29
379,Kartify,941,158819.0,2.31,16.79
380,BigCommerce,147,137903.0,14.78,2.38
381,Martjack,117,658598.0,7.04,23.81
382,WooCommerce,501,50000.0,21.15,5.66
383,Shopmatic,424,50000.0,12.84,18.28
384,Dukaan,123,659088.0,25.31,6.83
385,Weebly,191,208925.0,22.64,4.33
386,Instamojo,89,1624439.0,13.27,19.55
387,Paytm Mall,267,274413.0,13.95,8.25
388,Magento,370,1043116.0,11.44,2.62
389,Unicommerce,30,50000.0,23.38,7.88
390,Dukaan,635,50000.0,20.31,10.03
391,Instamojo,103,74834.0,22.08,16.87
392,Kartify,190,115499.0,5.87,27.18
393,Kartrocket,127,227081.0,11.22,7.26
394,Kartrocket,977,2441644.0,14.65,20.46
395,WooCommerce,414,64592.0,10.55,4.72
396,OpenCart,199,313226.0,22.83,17.42
397,Weebly,52,55891.0,4.36,16.48
398,Kartify,41,50000.0,19.2,18.63
399,BigCommerce,51,86434.0,11.86,15.23
400,Kartrocket,376,146739.0,3.46,20.7
401,BigCommerce,69,740275.0,10.76,21.66
402,Squarespace,492,176646.0,15.16,9.67
403,Paytm Mall,102,291964.0,0.48,4.07
404,Unicommerce,114,200072.0,4.65,5.07
405,Weebly,93,98248.0,27.1,14.64
406,Dukaan,518,423656.0,12.15,5.34
407,Kartify,49,1606967.0,13.5,11.11
408,Volusion,125,247003.0,8.81,15.73
409,Shopify,440,300652.0,2.67,11.97
410,Volusion,444,66752.0,20.6,7.83
411,BigCommerce,753,344166.0,27.83,15.8
412,Martjack,465,343685.0,17.54,18.39
413,OpenCart,219,267276.0,19.91,21.71
414,Martjack,129,50000.0,10.79,20.2
415,StoreHippo,869,262857.0,25.86,19.72
416,PrestaShop,129,50000.0,23.46,23.43
417,Weebly,145,113282.0,9.64,30.55
418,Custom,104,251516.0,4.31,9.03
419,Kartify,176,270550.0,7.63,12.32
420,StoreHippo,922,50000.0,6.51,13.96
421,Unicommerce,1179,192667.0,15.54,3.11
422,BigCommerce,124,50000.0,8.85,16.38
423,PrestaShop,566,50000.0,15.21,28.74
424,PrestaShop,120,251109.0,15.24,27.43
425,Weebly,860,231040.0,10.16,27.34
426,WooCommerce,71,1140601.0,11.94,17.81
427,Kartify,65,87455.0,15.73,3.36
428,Unicommerce,88,54861.0,8.41,12.78
429,StoreHippo,1114,51656.0,5.52,23.04
430,Kartify,390,197852.0,17.26,6.94
431,OpenCart,549,64182.0,25.68,18.52
432,Custom,611,77901.0,33.14,7.92
433,Zepo,688,253332.0,12.85,11.97
434,Unicommerce,776,88307.0,9.04,5.43
435,OpenCart,133,123794.0,15.18,15.0
436,StoreHippo,199,290398.0,12.93,7.73
437,Volusion,181,57828.0,14.28,12.37
438,Shopmatic,173,50000.0,4.0,13.59
439,Custom,85,87233.0,12.74,6.91
440,Shopmatic,61,51175.0,26.88,6.15
441,StoreHippo,62,143678.0,21.19,23.34
442,OpenCart,234,128756.0,7.35,11.43
443,Zepo,965,164293.0,16.64,18.8
444,Volusion,276,881746.0,16.7,8.11
445,Zepo,111,50000.0,28.2,12.01
446,Instamojo,521,340373.0,5.77,11.87
447,Magento,920,357631.0,10.89,25.67
448,Martjack,44,364128.0,14.26,6.06
449,Squarespace,636,50000.0,20.25,12.64
450,Magento,936,398553.0,16.91,26.84
451,StoreHippo,505,211224.0,30.82,19.45
452,Kartrocket,69,195684.0,14.45,3.96
453,Shopify,171,111061.0,1.27,32.61
454,Kartrocket,906,231997.0,6.35,7.9
455,Dukaan,739,50000.0,26.22,12.87
456,Volusion,587,56111.0,10.12,13.86
457,BigCommerce,206,50000.0,13.54,11.75
458,Weebly,365,503291.0,24.14,21.29
459,Kartify,45,137891.0,7.15,4.87
460,Dukaan,171,817093.0,17.54,0.45
461,Instamojo,258,75518.0,13.13,14.86
462,Dukaan,945,171835.0,2.53,11.36
463,PrestaShop,929,554627.0,5.07,20.95
464,Shopmatic,924,238029.0,4.26,11.26
465,Paytm Mall,32,270788.0,27.72,21.31
466,Zepo,304,387519.0,7.41,5.97
467,OpenCart,78,129409.0,15.23,20.97
468,OpenCart,61,153472.0,24.86,13.3
469,Zepo,462,50000.0,18.44,8.05
470,Weebly,333,65028.0,21.05,30.05
471,WooCommerce,75,137336.0,22.05,2.04
472,PrestaShop,179,68659.0,21.28,8.53
473,StoreHippo,732,474311.0,10.62,7.5
474,Magento,125,1506551.0,13.54,8.98
475,Kartrocket,146,423418.0,20.91,8.59
476,Instamojo,1177,50000.0,25.68,25.37
477,Dukaan,123,1035976.0,15.81,5.02
478,Dukaan,172,743355.0,12.92,11.03
479,WooCommerce,445,50000.0,24.78,12.72
480,Martjack,223,569200.0,4.0,28.69
481,Unicommerce,75,72528.0,9.17,19.91
482,BigCommerce,335,156213.0,8.92,5.64
483,Shopmatic,137,123840.0,21.23,6.3
484,Paytm Mall,334,66691.0,28.85,13.65
485,Volusion,161,77918.0,11.23,10.61
486,Zepo,194,50000.0,10.84,18.83
487,Unicommerce,98,108631.0,8.69,22.24
488,Volusion,327,354232.0,15.88,26.07
489,OpenCart,142,133560.0,10.05,7.67
490,StoreHippo,757,184645.0,4.7,19.21
491,Weebly,112,79210.0,16.91,4.64
492,Zepo,148,571338.0,13.41,11.24
493,Zepo,409,221535.0,14.63,15.37
494,Squarespace,156,380952.0,19.18,6.53
495,Volusion,359,372117.0,12.41,7.8
496,Squarespace,91,60632.0,2.62,13.18
497,BigCommerce,117,249193.0,26.57,6.63
498,Weebly,430,80382.0,22.09,18.76
499,Shopmatic,1152,50000.0,15.29,18.68
500,Shopmatic,122,50000.0,19.29,17.1
501,Martjack,132,231462.0,1.2,7.4
502,StoreHippo,513,60671.0,16.62,13.9
503,PrestaShop,195,50000.0,4.32,31.06
504,Custom,959,280197.0,2.52,4.95
505,Zepo,126,333090.0,11.26,19.68
506,BigCommerce,1119,1142061.0,12.04,6.98
507,Shopify,239,50000.0,20.0,18.41
508,Dukaan,176,699589.0,4.53,21.2
509,Kartify,99,117971.0,2.94,20.19
510,PrestaShop,760,256818.0,11.55,13.05
511,WooCommerce,1063,1258037.0,5.51,22.73
512,Squarespace,953,162628.0,4.19,27.36
513,StoreHippo,74,168081.0,2.58,14.55
514,Kartrocket,115,67552.0,7.45,5.35
515,Martjack,977,667285.0,24.06,27.15
516,Magento,132,160226.0,23.97,15.97
517,Squarespace,882,406361.0,7.0,16.22
518,Kartrocket,299,130520.0,22.02,12.16
519,Dukaan,127,882092.0,10.05,14.21
520,Kartrocket,158,50000.0,24.97,16.07
521,BigCommerce,117,1596719.0,9.3,12.05
522,Paytm Mall,736,98707.0,10.32,4.19
523,Zepo,1073,74232.0,7.38,22.95
524,Kartrocket,569,1068496.0,2.2,9.77
525,BigCommerce,89,50000.0,5.37,15.53
526,OpenCart,679,89778.0,7.83,6.01
527,Magento,494,142370.0,6.33,11.03
528,Weebly,92,182228.0,5.05,7.85
529,Weebly,293,92887.0,17.19,21.17
530,Shopify,347,95568.0,10.78,24.51
531,OpenCart,659,1272419.0,7.24,17.28
532,StoreHippo,431,216835.0,16.02,13.5
533,Magento,1101,50000.0,17.67,14.85
534,Shopify,599,50000.0,3.63,9.26
535,Volusion,411,642595.0,18.65,9.04
536,Paytm Mall,300,83153.0,13.67,27.93
537,Paytm Mall,90,2486271.0,15.02,29.37
538,Kartify,996,1170994.0,21.3,9.15
539,Magento,273,284934.0,13.88,17.25
540,Weebly,191,138486.0,27.79,27.76
541,Unicommerce,324,130726.0,16.06,16.58
542,Kartrocket,190,284344.0,19.07,18.75
543,Zepo,32,181099.0,16.18,10.69
544,Shopmatic,282,98646.0,16.95,23.75
545,Squarespace,182,50000.0,24.89,4.28
546,Paytm Mall,91,230606.0,6.91,6.6
547,Weebly,94,304027.0,0.52,14.99
548,WooCommerce,291,80932.0,15.51,27.09
549,StoreHippo,142,110067.0,25.12,7.65
550,Volusion,162,747511.0,8.16,13.37
551,Custom,538,168222.0,12.83,16.67
552,Magento,1155,50000.0,24.65,7.02
553,OpenCart,119,540978.0,7.9,29.65
554,Instamojo,1019,84990.0,20.72,11.71
555,WooCommerce,635,50000.0,14.72,18.74
556,Kartrocket,195,1042574.0,11.34,13.01
557,Kartrocket,465,684964.0,32.84,7.77
558,Squarespace,551,185945.0,8.07,7.32
559,Custom,110,50000.0,19.67,21.99
560,Shopify,116,819403.0,4.72,11.97
561,Shopmatic,259,266704.0,9.32,4.64
562,BigCommerce,688,216740.0,5.1,9.58
563,Weebly,473,331706.0,13.54,12.52
564,Squarespace,98,217445.0,12.47,8.01
565,WooCommerce,572,217139.0,6.57,17.09
566,OpenCart,154,367658.0,15.86,10.79
567,Shopify,99,102271.0,25.1,16.02
568,Kartrocket,375,358603.0,18.87,24.74
569,Paytm Mall,298,109460.0,20.9,7.24
570,BigCommerce,343,74343.0,10.33,18.74
571,Dukaan,475,103703.0,12.28,8.94
572,Magento,147,459527.0,6.1,10.81
573,Squarespace,854,166080.0,18.87,12.77
574,Paytm Mall,1182,59841.0,24.8,16.52
575,Zepo,140,671800.0,17.4,5.91
576,Squarespace,849,202140.0,11.27,15.41
577,Dukaan,324,401708.0,8.07,1.31
578,Volusion,735,159536.0,16.47,17.96
579,Kartify,704,700421.0,11.5,16.26
580,Volusion,240,329869.0,21.83,14.0
581,Squarespace,564,391412.0,12.52,10.16
582,Shopmatic,243,186656.0,14.71,5.66
583,Custom,102,73924.0,19.29,7.3
584,Zepo,39,136020.0,12.13,14.59
585,Squarespace,1096,418441.0,5.57,5.71
586,OpenCart,135,151421.0,11.09,25.02
587,OpenCart,434,1716953.0,7.61,11.07
588,Martjack,240,177313.0,4.92,12.03
589,Martjack,87,54284.0,6.04,3.0
590,Volusion,158,118596.0,9.0,23.54
591,PrestaShop,1196,331067.0,9.41,5.83
592,Kartrocket,899,50000.0,8.5,5.04
593,Martjack,131,50000.0,12.87,5.66
594,Dukaan,93,228542.0,7.05,20.84
595,Zepo,155,276062.0,21.62,12.03
596,Kartrocket,520,622034.0,16.5,21.58
597,Kartify,85,300166.0,8.41,25.81
598,Dukaan,127,73643.0,15.63,12.63
599,Squarespace,460,69349.0,11.19,5.13
600,Zepo,351,244315.0,5.4,14.79
601,WooCommerce,53,105964.0,9.82,14.66
